ID	X	Y	Z	W	L	H	TX	TY	Type	Color	Behavior	Name
41	659	32	2	5	5	3	659	34	2	5	cabinet1_16	
41	742	74	2	5	5	3	742	74	2	5	cabinet1_17	
41	659	74	2	5	5	3	659	74	2	5	cabinet1_18	
42	80	120	28	51	118	55	80	120	2	6	bathtub_1	
42	80	58	33	65	7	65	80	58	2	0	bathtub_2	
42	109	124	33	7	126	65	109	124	2	0	bathtub_3	
42	51	124	33	7	126	65	51	124	2	0	bathtub_4	
42	80	183	33	51	8	65	80	183	2	0	bathtub_5	
42	80	59	77	5	5	21	80	59	2	3	bathtub_6	
42	80	65	85	5	11	5	80	65	2	3	bathtub_7	
42	80	69	80	5	5	5	80	69	2	3	bathtub_8	
43	400	1100	34	150	42	38	400	1300	2	7	TVstand_1	
43	463	1092	8	5	5	15	463	1292	2	7	TVstand_2	
43	463	1109	8	5	5	15	463	1309	2	7	TVstand_3	
43	400	1092	8	5	5	15	400	1292	2	7	TVstand_4	
43	400	1109	8	5	5	15	400	1309	2	7	TVstand_5	
43	338	1092	8	5	5	15	338	1292	2	7	TVstand_6	
43	338	1109	8	5	5	15	338	1309	2	7	TVstand_7	
44	400	1100	55	58	29	5	400	1100	2	5	TV_1	
44	400	1100	68	15	7	20	400	1100	3	5	TV_2	
44	400	1100	100	78	9	45	400	1100	2	5	TV_3	
44	400	1095	95	97	5	58	400	1095	2	5	TV_4	
44	400	1087	95	87	12	48	400	1087	2	8	TV_5	
44	400	1087	121	97	12	5	400	1087	2	5	TV_6	
44	354	1087	95	5	12	48	354	1087	2	5	TV_7	
44	446	1087	95	5	12	48	446	1087	2	5	TV_8	
44	400	1087	69	97	12	5	400	1087	2	5	TV_9	
												
												
30	10	600	100	10	150	200	50	600	2	7	Door-1	
31	1190	600	100	10	150	200	1150	600	2	7	Door-2	
32	600	10	100	150	10	200	600	50	2	7	Door-3	
33	600	1190	100	150	10	200	600	1150	2	7	Door-4	
35	1100	1100	15	40	20	30	1050	1050	3	2	ChargingStation-2	
